tbl,id,country,state_province,county,latitude,longitude
vfoi,62464488,Brazil,Espirito Santo,Venda Nova Do Imigrante,9999,9999
vfoi,62467066,Brazil,Espirito Santo,Fundao,9999,9999
vfoi,62467287,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,62468752,Brazil,Mato Grosso,NA,9999,9999
vfoi,62471919,Brazil,Mato Grosso,NA,9999,9999
vfoi,62474304,Brazil,Mato Grosso,NA,9999,9999
vfoi,62487373,Brazil,Mato Grosso,NA,9999,9999
vfoi,62493338,Brazil,Espirito Santo,Nova Venecia,9999,9999
vfoi,62494849,Brazil,Mato Grosso,NA,9999,9999
vfoi,62495975,Brazil,Mato Grosso,NA,9999,9999
