tbl,id,country,state_province,county,latitude,longitude
vfoi,64036365,Brazil,Mato Grosso,NA,9999,9999
vfoi,64037810,Brazil,Mato Grosso,NA,9999,9999
vfoi,64038582,Brazil,Mato Grosso,NA,9999,9999
vfoi,64040026,Brazil,Espirito Santo,Cariacica,9999,9999
vfoi,64040540,Brazil,Mato Grosso,NA,9999,9999
vfoi,64046202,Brazil,Mato Grosso,NA,9999,9999
vfoi,64046666,Brazil,Mato Grosso,NA,9999,9999
vfoi,64046805,Brazil,Mato Grosso,NA,9999,9999
vfoi,64050372,Brazil,Mato Grosso,NA,9999,9999
vfoi,64052449,Brazil,Mato Grosso,NA,9999,9999
vfoi,64052552,Brazil,Mato Grosso,NA,9999,9999
vfoi,64059641,Brazil,Mato Grosso,NA,9999,9999
vfoi,64061116,Brazil,Mato Grosso,NA,9999,9999
vfoi,64062952,Brazil,Mato Grosso,NA,9999,9999
vfoi,64066981,Brazil,Mato Grosso,NA,9999,9999
vfoi,64067952,Brazil,Mato Grosso,NA,9999,9999
vfoi,64071990,Brazil,Mato Grosso,NA,9999,9999
vfoi,64072256,Brazil,Mato Grosso,NA,9999,9999
vfoi,64073262,Brazil,Mato Grosso,NA,9999,9999
vfoi,64074882,Brazil,Mato Grosso,NA,9999,9999
vfoi,64075023,Brazil,Mato Grosso,NA,9999,9999
vfoi,64076732,Brazil,Mato Grosso,NA,9999,9999
